Table 21. Number of Poor and Poverty Rate by State: 1980 to 2020,,,,,
Texas,"26,676","4,364",173,16.4,0.6
Utah,"2,928",298,36,10.2,1.2
Vermont,615,57,6,9.3,0.9
Virginia,"8,257",842,73,10.2,0.9
Washington,"7,079",852,82,12.0,1.2
West Virginia,"1,822",376,30,20.6,1.7
Wisconsin,"5,742",628,55,10.9,1.0
Wyoming,572,55,6,9.7,1.1
2013,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,807",891,94,18.5,2.0
Alaska,696,67,15,9.7,2.1
Arizona,"6,532","1,163",161,17.8,2.5
Arkansas,"2,852",395,46,13.9,1.6
California,"38,207","5,754",352,15.1,0.9
Colorado,"5,303",569,72,10.7,1.4
Connecticut,"3,637",396,59,10.9,1.6
Delaware,912,102,17,11.2,1.8
District of Columbia,647,150,17,23.2,2.6
Florida,"19,462","2,882",249,14.8,1.3
Georgia,"9,848","1,825",172,18.5,1.8
Hawaii,"1,338",142,24,10.6,1.8
Idaho,"1,610",200,36,12.4,2.2
Illinois,"12,654","1,720",154,13.6,1.2
Indiana,"6,557","1,083",138,16.5,2.1
Iowa,"3,076",405,42,13.2,1.4
Kansas,"2,760",315,70,11.4,2.5
Kentucky,"4,501",991,106,22.0,2.4
Louisiana,"4,534",963,113,21.2,2.5
Maine,"1,330",151,22,11.4,1.6
Maryland,"5,946",623,88,10.5,1.5
Massachusetts,"6,735",818,150,12.1,2.2
Michigan,"10,074","1,277",158,12.7,1.6
Minnesota,"5,349",589,84,11.0,1.6
Mississippi,"2,895",554,101,19.1,3.5
Missouri,"5,955","1,041",136,17.5,2.3
Montana,980,103,27,10.5,2.7
Nebraska,"1,868",196,30,10.5,1.6
Nevada,"2,774",401,60,14.5,2.2
New Hampshire,"1,301",71,13,5.5,1.0
New Jersey,"8,728",861,120,9.9,1.4
New Mexico,"2,079",535,72,25.8,3.5
New York,"19,335","3,337",294,17.3,1.5
North Carolina,"9,672","1,419",192,14.7,2.0
North Dakota,716,94,15,13.2,2.1
Ohio,"11,280","1,684",174,14.9,1.5
Oklahoma,"3,697",785,126,21.2,3.4
Oregon,"3,969",556,80,14.0,2.0
Pennsylvania,"12,804","1,432",152,11.2,1.2
Rhode Island,"1,032",96,18,9.3,1.7
South Carolina,"4,676",904,107,19.3,2.3
South Dakota,827,110,20,13.3,2.5
Tennessee,"6,272",972,138,15.5,2.2
Texas,"26,201","4,422",314,16.9,1.2
Utah,"2,923",357,50,12.2,1.7
Vermont,629,43,10,6.8,1.6
Virginia,"8,230",805,116,9.8,1.4
Washington,"6,877",836,99,12.2,1.4
West Virginia,"1,805",358,51,19.8,2.8
Wisconsin,"5,615",756,104,13.5,1.9
Wyoming,592,68,11,11.4,1.9
2013,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,751",796,67,16.7,1.4
Alaska,696,76,12,10.9,1.7
Arizona,"6,645","1,345",93,20.2,1.4
Arkansas,"2,940",504,69,17.1,2.4
California,"38,054","5,675",214,14.9,0.6
Colorado,"5,289",560,54,10.6,1.0
Connecticut,"3,545",400,36,11.3,1.0
Delaware,907,127,14,14.0,1.5
District of Columbia,650,139,11,21.3,1.6
Florida,"19,371","2,888",177,14.9,0.9
Georgia,"9,787","1,592",121,16.3,1.2
Hawaii,"1,368",152,16,11.1,1.2
Idaho,"1,592",205,30,12.9,1.9
Illinois,"12,779","1,695",117,13.3,0.9
Indiana,"6,398",743,76,11.6,1.2
Iowa,"3,066",330,31,10.8,1.0
Kansas,"2,830",373,32,13.2,1.1
Kentucky,"4,360",871,63,20.0,1.4
Louisiana,"4,504",863,95,19.2,2.1
Maine,"1,310",161,17,12.3,1.3
Maryland,"5,933",611,51,10.3,0.9
Massachusetts,"6,570",784,93,11.9,1.4
Michigan,"9,840","1,428",118,14.5,1.2
Minnesota,"5,398",649,60,12.0,1.1
Mississippi,"2,918",657,57,22.5,2.0
Missouri,"5,997",824,90,13.7,1.5
Montana,998,145,20,14.5,2.0
Nebraska,"1,838",202,23,11.0,1.3
Nevada,"2,760",480,52,17.4,1.9
New Hampshire,"1,317",119,12,9.0,0.9
New Jersey,"8,842",984,120,11.1,1.4
New Mexico,"2,099",454,46,21.7,2.2
New York,"19,488","2,825",164,14.5,0.8
North Carolina,"9,619","1,793",161,18.6,1.7
North Dakota,711,71,10,9.9,1.4
Ohio,"11,468","1,571",138,13.7,1.2
Oklahoma,"3,708",518,79,14.0,2.1
Oregon,"3,934",593,56,15.1,1.4
Pennsylvania,"12,738","1,576",133,12.4,1.0
Rhode Island,"1,048",142,13,13.5,1.2
South Carolina,"4,679",745,95,15.9,2.0
South Dakota,833,85,12,10.3,1.5
Tennessee,"6,453","1,170",114,18.1,1.8
Texas,"26,383","4,425",232,16.8,0.9
Utah,"2,877",239,32,8.3,1.1
Vermont,619,54,6,8.7,1.0
Virginia,"8,174",854,100,10.4,1.2
Washington,"6,854",819,81,12.0,1.2
West Virginia,"1,823",315,35,17.3,1.9
Wisconsin,"5,625",618,70,11.0,1.2
Wyoming,578,68,6,11.8,1.1
2012,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,808",777,91,16.2,1.9
Alaska,702,70,8,10.0,1.1
Arizona,"6,642","1,260",111,19.0,1.7
Arkansas,"2,909",584,51,20.1,1.8
California,"37,912","6,015",192,15.9,0.5
Colorado,"5,153",613,61,11.9,1.2
Connecticut,"3,517",363,30,10.3,0.9
Delaware,900,121,11,13.5,1.2
District of Columbia,632,116,9,18.4,1.3
Florida,"19,166","2,926",128,15.3,0.7
Georgia,"9,665","1,752",134,18.1,1.4
Hawaii,"1,356",188,21,13.8,1.6
Idaho,"1,588",229,22,14.4,1.4
Illinois,"12,727","1,608",98,12.6,0.8
Indiana,"6,343",964,70,15.2,1.1
Iowa,"3,010",310,22,10.3,0.8
Kansas,"2,828",397,34,14.0,1.3
Kentucky,"4,342",776,66,17.9,1.5
Louisiana,"4,465",944,99,21.1,2.3
Maine,"1,330",170,14,12.8,1.1
Maryland,"5,892",585,47,9.9,0.8
Massachusetts,"6,566",743,59,11.3,0.9
Michigan,"9,731","1,331",95,13.7,1.0
Minnesota,"5,353",534,47,10.0,0.9
Mississippi,"2,893",636,55,22.0,1.9
Missouri,"5,956",905,86,15.2,1.5
Montana,999,134,15,13.4,1.5
Nebraska,"1,849",226,25,12.2,1.3
Nevada,"2,735",433,32,15.8,1.2
New Hampshire,"1,308",106,11,8.1,0.8
New Jersey,"8,720",814,73,9.3,0.8
New Mexico,"2,064",420,44,20.4,2.1
New York,"19,298","3,328",131,17.2,0.7
North Carolina,"9,634","1,652",126,17.2,1.3
North Dakota,692,79,7,11.4,1.1
Ohio,"11,398","1,751",119,15.4,1.1
Oklahoma,"3,700",668,46,18.0,1.3
Oregon,"3,872",523,40,13.5,1.0
Pennsylvania,"12,664","1,756",111,13.9,0.9
Rhode Island,"1,034",141,12,13.6,1.1
South Carolina,"4,667",779,63,16.7,1.4
South Dakota,822,106,11,12.8,1.3
Tennessee,"6,422","1,194",118,18.6,1.9
Texas,"26,063","4,444",192,17.0,0.7
Utah,"2,849",312,45,11.0,1.6
Vermont,615,69,7,11.2,1.1
Virginia,"7,994",850,89,10.6,1.1
Washington,"6,856",796,58,11.6,0.9
West Virginia,"1,803",301,40,16.7,2.2
Wisconsin,"5,628",640,49,11.4,0.9
Wyoming,577,56,7,9.6,1.2
2011,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,765",732,74,15.4,1.5
Alaska,712,83,9,11.7,1.3
Arizona,"6,547","1,128",107,17.2,1.7
Arkansas,"2,909",545,46,18.7,1.6
California,"37,592","6,352",202,16.9,0.6
Colorado,"5,016",661,54,13.2,1.1
Connecticut,"3,514",356,33,10.1,0.9
Delaware,902,123,9,13.7,1.0
District of Columbia,619,123,9,19.9,1.4
Florida,"18,986","2,822",136,14.9,0.7
Georgia,"9,681","1,783",122,18.4,1.3
Hawaii,"1,337",162,18,12.1,1.4
Idaho,"1,574",248,26,15.7,1.7
Illinois,"12,697","1,807",109,14.2,0.9
Indiana,"6,344",989,83,15.6,1.3
Iowa,"3,027",315,24,10.4,0.8
Kansas,"2,807",402,32,14.3,1.2
Kentucky,"4,302",689,60,16.0,1.4
Louisiana,"4,494",947,75,21.1,1.6
Maine,"1,328",178,14,13.4,1.1
Maryland,"5,806",537,43,9.3,0.8
Massachusetts,"6,514",688,55,10.6,0.9
Michigan,"9,689","1,449",100,15.0,1.0
Minnesota,"5,276",528,46,10.0,0.9
Mississippi,"2,932",510,40,17.4,1.4
Missouri,"5,892",910,98,15.4,1.7
Montana,986,163,16,16.5,1.6
Nebraska,"1,823",187,22,10.2,1.3
Nevada,"2,682",414,34,15.5,1.3
New Hampshire,"1,300",99,12,7.6,0.9
New Jersey,"8,642",988,76,11.4,0.9
New Mexico,"2,037",451,36,22.2,1.8
New York,"19,329","3,085",144,16.0,0.7
North Carolina,"9,504","1,459",130,15.4,1.4
North Dakota,675,67,10,9.9,1.4
Ohio,"11,309","1,708",129,15.1,1.2
Oklahoma,"3,763",522,47,13.9,1.2
Oregon,"3,850",553,51,14.4,1.3
Pennsylvania,"12,697","1,604",106,12.6,0.8
Rhode Island,"1,038",139,10,13.4,1.0
South Carolina,"4,605",874,64,19.0,1.4
South Dakota,808,117,20,14.5,2.5
Tennessee,"6,324","1,030",104,16.3,1.7
Texas,"25,554","4,458",196,17.4,0.8
Utah,"2,812",309,29,11.0,1.0
Vermont,615,71,6,11.6,1.0
Virginia,"7,971",907,70,11.4,0.9
Washington,"6,812",854,74,12.5,1.1
West Virginia,"1,820",318,34,17.5,1.8
Wisconsin,"5,676",743,60,13.1,1.1
Wyoming,562,60,8,10.7,1.4
2010,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,717",812,83,17.2,1.8
Alaska,695,87,10,12.5,1.5
Arizona,"6,426","1,208",108,18.8,1.7
Arkansas,"2,879",440,45,15.3,1.6
California,"37,240","6,073",212,16.3,0.6
Colorado,"4,995",615,54,12.3,1.1
Connecticut,"3,541",303,27,8.6,0.8
Delaware,890,109,10,12.2,1.1
District of Columbia,604,118,8,19.5,1.3
Florida,"18,759","3,006",127,16.0,0.7
Georgia,"9,650","1,814",104,18.8,1.1
Hawaii,"1,311",162,15,12.4,1.2
Idaho,"1,543",213,23,13.8,1.5
Illinois,"12,784","1,798",101,14.1,0.8
Indiana,"6,390","1,041",95,16.3,1.5
Iowa,"2,977",307,30,10.3,1.0
Kansas,"2,766",400,39,14.5,1.4
Kentucky,"4,270",754,65,17.7,1.6
Louisiana,"4,418",949,69,21.5,1.6
Maine,"1,298",164,15,12.6,1.2
Maryland,"5,786",628,50,10.9,0.9
Massachusetts,"6,532",711,68,10.9,1.1
Michigan,"9,751","1,530",110,15.7,1.1
Minnesota,"5,217",563,43,10.8,0.8
Mississippi,"2,920",658,44,22.5,1.5
Missouri,"5,929",890,79,15.0,1.4
Montana,979,142,17,14.5,1.8
Nebraska,"1,804",184,20,10.2,1.2
Nevada,"2,696",446,35,16.6,1.3
New Hampshire,"1,294",84,8,6.5,0.7
New Jersey,"8,733",966,89,11.1,1.0
New Mexico,"2,033",372,30,18.3,1.5
New York,"19,116","3,062",147,16.0,0.8
North Carolina,"9,359","1,633",90,17.4,1.0
North Dakota,653,82,6,12.6,0.9
Ohio,"11,341","1,746",118,15.4,1.1
Oklahoma,"3,697",603,62,16.3,1.7
Oregon,"3,752",537,44,14.3,1.2
Pennsylvania,"12,530","1,535",84,12.2,0.7
Rhode Island,"1,042",146,11,14.0,1.0
South Carolina,"4,563",773,53,16.9,1.2
South Dakota,799,109,9,13.6,1.1
Tennessee,"6,315","1,052",85,16.7,1.3
Texas,"25,200","4,633",196,18.4,0.8
Utah,"2,768",278,30,10.0,1.1
Vermont,624,67,7,10.8,1.1
Virginia,"7,837",835,73,10.7,0.9
Washington,"6,713",779,73,11.6,1.1
West Virginia,"1,816",306,23,16.8,1.3
Wisconsin,"5,626",567,52,10.1,0.9
Wyoming,550,53,5,9.6,0.9
2009,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,655",770,60,16.6,1.3
Alaska,688,81,8,11.7,1.2
Arizona,"6,508","1,381",84,21.2,1.3
Arkansas,"2,846",538,40,18.9,1.4
California,"36,742","5,638",177,15.3,0.5
Colorado,"4,969",613,58,12.3,1.2
Connecticut,"3,472",292,35,8.4,1.0
Delaware,883,109,11,12.3,1.2
District of Columbia,595,107,9,17.9,1.5
Florida,"18,385","2,676",116,14.6,0.6
Georgia,"9,657","1,775",91,18.4,0.9
Hawaii,"1,250",156,14,12.5,1.2
Idaho,"1,524",209,19,13.7,1.2
Illinois,"12,759","1,690",94,13.2,0.7
Indiana,"6,342","1,023",70,16.1,1.1
Iowa,"2,987",319,34,10.7,1.1
Kansas,"2,737",374,35,13.7,1.3
Kentucky,"4,276",727,58,17.0,1.4
Louisiana,"4,450",636,55,14.3,1.2
Maine,"1,297",148,16,11.4,1.3
Maryland,"5,662",543,54,9.6,1.0
Massachusetts,"6,623",717,60,10.8,0.9
Michigan,"9,797","1,376",83,14.0,0.8
Minnesota,"5,200",576,54,11.1,1.0
Mississippi,"2,847",658,44,23.1,1.5
Missouri,"5,963",926,68,15.5,1.1
Montana,971,131,12,13.5,1.2
Nebraska,"1,778",176,20,9.9,1.1
Nevada,"2,629",343,32,13.0,1.2
New Hampshire,"1,313",103,13,7.8,1.0
New Jersey,"8,660",806,66,9.3,0.8
New Mexico,"1,971",381,31,19.3,1.6
New York,"19,158","3,018",125,15.8,0.7
North Carolina,"9,336","1,576",88,16.9,0.9
North Dakota,632,69,7,10.9,1.1
Ohio,"11,441","1,526",87,13.3,0.8
Oklahoma,"3,632",468,44,12.9,1.2
Oregon,"3,821",510,49,13.4,1.3
Pennsylvania,"12,401","1,376",84,11.1,0.7
Rhode Island,"1,030",134,14,13.0,1.3
South Carolina,"4,501",618,55,13.7,1.2
South Dakota,799,113,9,14.1,1.2
Tennessee,"6,240","1,031",70,16.5,1.1
Texas,"24,632","4,262",154,17.3,0.6
Utah,"2,794",270,26,9.7,0.9
Vermont,617,58,7,9.4,1.1
Virginia,"7,767",831,65,10.7,0.8
Washington,"6,697",781,65,11.7,1.0
West Virginia,"1,801",285,22,15.8,1.2
Wisconsin,"5,545",599,56,10.8,1.0
Wyoming,540,50,6,9.2,1.1
2008,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,716",675,57,14.3,1.2
Alaska,672,55,7,8.2,1.0
Arizona,"6,529","1,172",79,18.0,1.2
Arkansas,"2,822",431,36,15.3,1.3
California,"36,637","5,344",174,14.6,0.5
Colorado,"4,908",541,55,11.0,1.1
Connecticut,"3,433",276,34,8.1,1.0
Delaware,861,82,9,9.6,1.1
District of Columbia,590,98,9,16.5,1.5
Florida,"18,022","2,370",110,13.1,0.6
Georgia,"9,541","1,477",84,15.5,0.9
Hawaii,"1,255",125,13,9.9,1.1
Idaho,"1,515",185,18,12.2,1.2
Illinois,"12,687","1,564",90,12.3,0.7
Indiana,"6,288",901,66,14.3,1.1
Iowa,"2,986",285,32,9.5,1.1
Kansas,"2,716",346,34,12.7,1.3
Kentucky,"4,246",724,58,17.1,1.4
Louisiana,"4,326",788,60,18.2,1.4
Maine,"1,317",158,17,12.0,1.3
Maryland,"5,528",481,51,8.7,0.9
Massachusetts,"6,420",727,60,11.3,0.9
Michigan,"9,806","1,273",80,13.0,0.8
Minnesota,"5,120",506,51,9.9,1.0
Mississippi,"2,900",525,40,18.1,1.4
Missouri,"5,861",780,63,13.3,1.1
Montana,973,125,12,12.9,1.2
Nebraska,"1,774",188,20,10.6,1.1
Nevada,"2,581",278,30,10.8,1.2
New Hampshire,"1,300",91,12,7.0,1.0
New Jersey,"8,515",787,65,9.2,0.8
New Mexico,"1,977",381,31,19.3,1.6
New York,"19,309","2,734",120,14.2,0.6
North Carolina,"9,234","1,285",80,13.9,0.9
North Dakota,625,74,7,11.8,1.2
Ohio,"11,386","1,557",88,13.7,0.8
Oklahoma,"3,550",484,45,13.6,1.3
Oregon,"3,806",403,44,10.6,1.2
Pennsylvania,"12,178","1,335",83,11.0,0.7
Rhode Island,"1,042",132,14,12.7,1.3
South Carolina,"4,462",624,55,14.0,1.2
South Dakota,794,104,9,13.1,1.1
Tennessee,"6,163",924,67,15.0,1.1
Texas,"24,174","3,834",148,15.9,0.6
Utah,"2,754",209,23,7.6,0.9
Vermont,610,55,7,9.0,1.1
Virginia,"7,735",799,64,10.3,0.8
Washington,"6,526",680,61,10.4,0.9
West Virginia,"1,796",260,21,14.5,1.2
Wisconsin,"5,548",544,53,9.8,1.0
Wyoming,529,54,6,10.1,1.2
2007,,,,,
STATE,Total,Below poverty,Standard error,Percent,Standard error
Alabama,"4,566",662,56,14.5,1.2
Alaska,675,51,7,7.6,1.0
Arizona,"6,365",912,71,14.3,1.1
Arkansas,"2,803",387,35,13.8,1.2
California,"36,247","4,589",163,12.7,0.5
Colorado,"4,872",478,52,9.8,1.1
Connecticut,"3,471",309,36,8.9,1.0
Delaware,861,80,9,9.3,1.1
District of Columbia,580,104,9,18.0,1.6
Florida,"18,044","2,250",108,12.5,0.6
Georgia,"9,486","1,294",80,13.6,0.8
Hawaii,"1,264",94,12,7.5,0.9
Idaho,"1,501",149,16,9.9,1.1
Illinois,"12,680","1,262",82,10.0,0.7
Indiana,"6,258",740,61,11.8,1.0
Iowa,"2,965",264,31,8.9,1.1
Kansas,"2,720",319,33,11.7,1.2
Kentucky,"4,202",653,55,15.5,1.3
Louisiana,"4,186",673,56,16.1,1.3
Maine,"1,312",142,16,10.9,1.2
Maryland,"5,560",491,52,8.8,0.9
Massachusetts,"6,336",707,59,11.2,0.9
Michigan,"9,919","1,076",74,10.8,0.8
Minnesota,"5,188",482,50,9.3,1.0
Mississippi,"2,895",655,44,22.6,1.5
Missouri,"5,783",742,62,12.8,1.1
Montana,938,122,12,13.0,1.2
Nebraska,"1,751",174,20,9.9,1.1
Nevada,"2,566",250,28,9.7,1.1
New Hampshire,"1,312",76,11,5.8,0.9
New Jersey,"8,548",742,63,8.7,0.7
New Mexico,"1,941",271,27,14.0,1.4
New York,"19,021","2,757",121,14.5,0.6
North Carolina,"9,170","1,423",84,15.5,0.9
North Dakota,614,57,7,9.3,1.1
Ohio,"11,280","1,446",85,12.8,0.8
Oklahoma,"3,551",476,44,13.4,1.3
Oregon,"3,761",481,47,12.8,1.3
Pennsylvania,"12,297","1,273",81,10.4,0.7
Rhode Island,"1,042",99,12,9.5,1.1
South Carolina,"4,380",617,54,14.1,1.2
South Dakota,787,74,8,9.4,1.0
Tennessee,"6,137",906,66,14.8,1.1
